CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
05-04-2013 00:00,06-04-2013 00:00,AV,,737.05,,75.48,,296.74,27.46,4.06,,0.1,0.81,2.64,2.44,44.02,57.19,99.9,173.15,14.43,21.39
06-04-2013 00:00,07-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
07-04-2013 00:00,08-04-2013 00:00,AV,,733.24,,82.46,,292.0,36.03,4.8,,0.13,0.63,2.56,2.52,34.55,70.09,116.33,205.9,17.08,55.24
08-04-2013 00:00,09-04-2013 00:00,AV,,735.4,,116.92,,263.81,32.63,5.91,,,1.21,3.03,2.65,41.09,96.57,116.24,243.43,19.04,21.06
09-04-2013 00:00,10-04-2013 00:00,AV,,736.76,,179.63,,257.78,31.63,13.37,,0.51,1.51,4.08,2.9,43.05,115.63,118.42,272.38,20.11,41.59
10-04-2013 00:00,11-04-2013 00:00,AV,,738.2,,87.37,,268.33,30.8,7.43,,0.56,0.66,3.12,2.59,36.95,43.73,98.33,152.44,16.64,60.08
11-04-2013 00:00,12-04-2013 00:00,AV,,737.35,,111.73,,309.51,32.86,6.13,,0.68,0.73,2.89,2.54,32.97,41.63,106.51,156.71,22.21,12.98
12-04-2013 00:00,13-04-2013 00:00,AV,,739.39,,127.37,,266.13,30.29,6.24,,0.62,1.1,3.11,2.82,35.75,56.72,101.5,173.69,23.53,52.39
13-04-2013 00:00,14-04-2013 00:00,AV,,740.49,,137.39,,95.63,25.97,5.49,,0.4,1.07,3.16,2.75,42.27,21.46,90.84,114.84,15.13,62.29
14-04-2013 00:00,15-04-2013 00:00,AV,,736.38,,74.68,,251.01,31.12,7.98,,0.44,1.05,2.89,2.66,63.95,87.65,151.15,246.71,33.56,7.78
15-04-2013 00:00,16-04-2013 00:00,AV,,731.49,,178.72,,265.85,29.44,16.97,,3.2,2.22,4.15,3.45,78.51,185.11,177.71,412.71,28.59,35.41
16-04-2013 00:00,17-04-2013 00:00,AV,,722.83,,208.24,,262.16,32.6,10.76,,0.7,1.89,3.39,3.48,96.87,317.92,207.51,637.68,26.52,90.4
17-04-2013 00:00,18-04-2013 00:00,AV,,724.81,,91.57,,269.3,30.6,5.17,,0.66,1.04,2.73,2.75,83.37,150.48,216.26,400.94,39.74,25.82
18-04-2013 00:00,19-04-2013 00:00,AV,,727.74,,157.99,,264.66,31.27,7.59,,0.45,1.72,3.35,3.11,75.16,127.06,228.77,382.16,55.56,117.56
19-04-2013 00:00,20-04-2013 00:00,AV,,729.98,,242.21,,281.44,30.8,19.09,,0.46,2.66,3.69,3.82,90.09,397.32,254.45,763.4,38.54,83.18
20-04-2013 00:00,21-04-2013 00:00,AV,,728.13,,195.05,,282.52,31.0,20.3,,0.48,1.74,3.44,3.09,87.07,173.42,213.77,426.52,50.86,84.14
21-04-2013 00:00,22-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
