CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:53:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:21:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Aya Nagar , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
11-04-2013 00:00,12-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
12-04-2013 00:00,13-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
13-04-2013 00:00,14-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
14-04-2013 00:00,15-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
15-04-2013 00:00,16-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
16-04-2013 00:00,17-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
17-04-2013 00:00,18-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
18-04-2013 00:00,19-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
19-04-2013 00:00,20-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
20-04-2013 00:00,21-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
21-04-2013 00:00,22-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
22-04-2013 00:00,23-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
23-04-2013 00:00,24-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
24-04-2013 00:00,25-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
