CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
24-04-2013 00:00,25-04-2013 00:00,MM,,,,,,,,,,,,,,
25-04-2013 00:00,26-04-2013 00:00,MM,,,,,,,,,,,,,,
26-04-2013 00:00,27-04-2013 00:00,MM,,,,,,,,,,,,,,
27-04-2013 00:00,28-04-2013 00:00,MM,,,,,,,,,,,,,,
28-04-2013 00:00,29-04-2013 00:00,MM,,,,,,,,,,,,,,
29-04-2013 00:00,30-04-2013 00:00,MM,,,,,,,,,,,,,,
30-04-2013 00:00,01-05-2013 00:00,MM,,,,,,,,,,,,,,
01-05-2013 00:00,02-05-2013 00:00,MM,,,,,,,,,,,,,,
02-05-2013 00:00,03-05-2013 00:00,MM,,,,,,,,,,,,,,
03-05-2013 00:00,04-05-2013 00:00,MM,,,,,,,,,,,,,,
04-05-2013 00:00,05-05-2013 00:00,MM,,,,,,,,,,,,,,
05-05-2013 00:00,06-05-2013 00:00,MM,,,,,,,,,,,,,,
06-05-2013 00:00,07-05-2013 00:00,MM,,,,,,,,,,,,,,
07-05-2013 00:00,08-05-2013 00:00,MM,,,,,,,,,,,,,,
08-05-2013 00:00,09-05-2013 00:00,MM,,,,,,,,,,,,,,
09-05-2013 00:00,10-05-2013 00:00,MM,,,,,,,,,,,,,,
10-05-2013 00:00,11-05-2013 00:00,MM,,,,,,,,,,,,,,
11-05-2013 00:00,12-05-2013 00:00,MM,,,,,,,,,,,,,,
12-05-2013 00:00,13-05-2013 00:00,MM,,,,,,,,,,,,,,
13-05-2013 00:00,14-05-2013 00:00,MM,,,,,,,,,,,,,,
14-05-2013 00:00,15-05-2013 00:00,MM,,,,,,,,,,,,,,
15-05-2013 00:00,16-05-2013 00:00,MM,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,MM,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,MM,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,MM,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,MM,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,MM,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,MM,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,MM,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,MM,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,MM,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,MM,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,MM,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,MM,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,MM,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,MM,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,MM,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,MM,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,MM,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,MM,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,MM,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,MM,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,MM,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,MM,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,MM,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,MM,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,MM,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,MM,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,MM,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,MM,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,MM,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,MM,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,MM,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,MM,,,,,,,,,,,,,,
