CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:55:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:24:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Burari Crossing, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Burari Crossing , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
18-07-2013 00:00,19-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
03-08-2013 00:00,04-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
04-08-2013 00:00,05-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
05-08-2013 00:00,06-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
06-08-2013 00:00,07-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
07-08-2013 00:00,08-08-2013 00:00,BC,,,,,,,,,,,,,,,,,,,,,,,
