CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,
Time: 01:27:27 AM,,,,,,,,,,,,,,,,,,,,
Station,"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T14:54:59Z 00:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Lodhi Road, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,
 , ,,Lodhi Road , , , , ,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone
16-08-2013 00:00,17-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
17-08-2013 00:00,18-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
18-08-2013 00:00,19-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
19-08-2013 00:00,20-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
20-08-2013 00:00,21-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
21-08-2013 00:00,22-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
22-08-2013 00:00,23-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
23-08-2013 00:00,24-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
24-08-2013 00:00,25-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
25-08-2013 00:00,26-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
26-08-2013 00:00,27-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
27-08-2013 00:00,28-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
28-08-2013 00:00,29-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
29-08-2013 00:00,30-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
30-08-2013 00:00,31-08-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
31-08-2013 00:00,01-09-2013 00:00,LODHI,,,,,,,,,,,,,,,,,,
